status,product,component,hardware,importance
NEW,Platform,UI,PC Windows 2000,major
NEW,Platform,UI,PC Windows XP,normal
NEW,Platform,SWT,PC Windows XP,normal
NEW,Platform,UI,PC Windows XP,enhancement
NEW,GMF-Runtime,General,PC Windows XP,enhancement
NEW,Platform,SWT,PC Windows XP,enhancement
NEW,WTP Webservices,wst.wsdl,PC Windows XP,enhancement
NEW,Platform,User,PC Windows XP,normal
ASSIGNED,Platform,UI,PC Linux,normal
NEW,Platform,User,PC Windows XP,normal
NEW,Platform,SWT,PC Windows XP,enhancement
NEW,CDT,cdt-core,PC Linux,normal
NEW,GMF-Runtime,General,PC Windows XP,normal
ASSIGNED,Platform,CVS,PC Windows XP,normal
NEW,CDT,cdt-debug,PC Linux,major
NEW,Mylyn,Core,All All,enhancement
NEW,WTP Source Editing,wst.xml,PC Windows XP,enhancement
NEW,Platform,UI,All All,enhancement
NEW,WTP Source Editing,wst.xml,PC Windows XP,normal
NEW,GMF-Tooling,Core,PC Windows XP,normal
ASSIGNED,Platform,CVS,PC Windows XP,normal
ASSIGNED,JDT,UI,PC Windows XP,normal
NEW,Platform,UI,PC Windows XP,enhancement
NEW,WTP Source Editing,jst.jsp,PC Windows 2000,normal
NEW,Platform,UI,PC Windows XP,normal
NEW,Platform,UI,PC Windows XP,major
NEW,GMF-Runtime,General,PC Windows 2000,normal
NEW,GMF-Runtime,General,PC Windows 2000,enhancement
NEW,GMF-Tooling,Core,PC Linux,major
ASSIGNED,Platform,CVS,PC Linux,normal
ASSIGNED,Platform,UI,PC Windows XP,normal
NEW,Platform,IDE,PC Windows XP,normal
NEW,EPF,Tool,PC Windows XP,enhancement
NEW,Platform,User,PC Windows XP,normal
NEW,Platform,UI,PC All,enhancement
NEW,PDE,Build,PC Windows XP,enhancement
NEW,Platform,SWT,PC Windows XP,major
NEW,AspectJ,Compiler,PC Windows XP,enhancement
NEW,GMF-Tooling,Core,PC Windows XP,enhancement
NEW,Platform,SWT,PC All,enhancement
NEW,Platform,SWT,PC Windows XP,enhancement
NEW,GMF-Runtime,General,PC Windows XP,enhancement
NEW,GEF,GEF-Legacy,PC Windows XP,normal
NEW,Platform,UI,PC Windows XP,enhancement
NEW,WTP Source Editing,wst.xsd,PC Windows XP,enhancement
NEW,Platform,Resources,PC Windows 2000,enhancement
NEW,z_Archived,VE,PC Windows XP,enhancement
NEW,WTP Webservices,wst.ws,All All,normal
NEW,GMF-Tooling,Core,All All,enhancement
NEW,CDT,cdt-core,PC Windows XP,major
NEW,Platform,UI,PC Windows XP,major
NEW,Platform,SWT,PC Windows XP,normal
NEW,WTP Webservices,wst.wsdl,PC Windows XP,normal
NEW,GMF-Tooling,Core,All All,enhancement
NEW,Platform,UI,PC Windows XP,enhancement
NEW,Platform,SWT,PC Windows XP,enhancement
NEW,Platform,UI,PC Windows XP,enhancement
NEW,Java Server Faces,Core,PC Windows XP,normal
NEW,WTP Webservices,wst.wsdl,PC Windows XP,enhancement
NEW,Platform,SWT,PC Windows XP,normal
NEW,WTP Source Editing,jst.jsp,PC Windows 2000,enhancement
ASSIGNED,CDT,cdt-build-managed,PC Windows XP,minor
NEW,GMF-Tooling,Core,PC Windows XP,normal
NEW,WTP Source Editing,jst.jsp,PC Windows XP,enhancement
ASSIGNED,JDT,Text,All All,minor
NEW,GMF-Tooling,Core,All All,enhancement
NEW,Platform,SWT,PC Windows XP,normal
NEW,GMF-Runtime,General,PC Windows XP,normal
ASSIGNED,Platform,UI,PC Linux,normal
NEW,GMF-Runtime,General,PC Windows XP,normal
NEW,Platform,SWT,PC Windows XP,normal
ASSIGNED,Platform,CVS,PC All,normal
NEW,JDT,UI,PC Windows XP,normal
NEW,Platform,UI,PC Windows XP,trivial
NEW,z_Archived,gmt,PC Linux,major
NEW,GMF-Runtime,General,PC Windows XP,normal
ASSIGNED,Platform,CVS,PC Windows XP,normal
NEW,Platform,SWT,PC Windows XP,normal
ASSIGNED,Platform,Text,PC Linux,enhancement
NEW,Platform,User,All All,normal
ASSIGNED,CDT,cdt-build-managed,PC Windows 2000,enhancement
NEW,Platform,UI,All All,enhancement
NEW,Platform,SWT,PC Windows XP,normal
NEW,GMF-Runtime,General,PC Windows XP,normal
NEW,BIRT,Report,PC Windows XP,normal
ASSIGNED,JDT,Text,All All,minor
NEW,Platform,SWT,PC Windows XP,normal
ASSIGNED,Platform,Runtime,PC Windows XP,normal
NEW,Platform,UI,PC Windows 2000,normal
NEW,Platform,User,PC Windows XP,enhancement
NEW,AspectJ,Compiler,PC Windows XP,normal
ASSIGNED,Equinox,Incubator,All All,enhancement
NEW,JDT,Core,PC Windows XP,normal
NEW,Platform,SWT,PC Windows XP,enhancement
NEW,GMF-Tooling,Core,PC All,normal
ASSIGNED,Platform,CVS,PC Windows XP,enhancement
ASSIGNED,JDT,Text,PC Windows XP,normal
NEW,Platform,UI,PC Windows XP,normal
NEW,Platform,UI,PC Windows XP,normal
NEW,Mylyn,UI,PC All,enhancement
NEW,AspectJ,Compiler,PC Windows XP,enhancement
NEW,Platform,SWT,PC Windows XP,normal
NEW,Platform,SWT,PC Windows XP,enhancement
ASSIGNED,Platform,CVS,PC Windows 2000,normal
NEW,JDT,Core,PC Windows XP,normal
NEW,JDT,Core,PC Windows 2000,normal
NEW,Platform,UI,PC Windows XP,normal
NEW,CDT,cdt-core,PC Linux,critical
NEW,Platform,UI,PC Windows XP,enhancement
NEW,PDE,UI,PC Windows XP,normal
NEW,GMF-Runtime,General,PC All,enhancement
NEW,Platform,User,PC Windows XP,normal
ASSIGNED,JDT,Text,All All,enhancement
NEW,GMF-Runtime,General,PC Windows XP,normal
NEW,GMF-Runtime,General,PC Windows XP,normal
NEW,GMF-Tooling,Core,PC Windows XP,normal
NEW,ATF,Mozilla,PC Windows XP,normal
NEW,Platform,SWT,PC All,normal
NEW,z_Archived,gmt,PC Linux,normal
ASSIGNED,Platform,Team,PC Windows 2000,normal
ASSIGNED,Platform,UI,PC Windows XP,normal
NEW,PDE,UI,PC Windows XP,normal
ASSIGNED,Platform,UI,PC Windows XP,enhancement
